Severity,Description
0,Accident on WA-99 Alaskan Way Via Southbound at Seneca St.
0,Accident on 80th St at Ashworth Ave.
0,Accident on WA-513 Montlake Blvd at Pacific St.
0,Right lane blocked due to accident on WA-513 Montlake Blvd Southbound at 25th Ave.
0,Accident on 25th Ave at Blakeley St.
0,Accident on Madison St at 4th Ave.
0,Accident on Olive Way at Boren Ave.
0,Accident on 2nd Ave at Spring St.
0,Accident on California Ave at Oregon St.
1,Accident on entry ramp to I-5 Southbound from W Seattle Brg.
1,Right lane blocked due to accident on I-5 Southbound at Exit 176 175th St.
0,Accident on Warren Ave at Queen Anne Dr.
1,Right hand shoulder blocked due to accident on I-5 Northbound after WA-516 Kent des Moines Rd.
1,HOV lane blocked slow traffic and left hand shoulder blocked due to accident on I-5 Northbound at S Austin St.
0,Accident on 5th Ave Northbound between 127th St and 131st Pl.
0,Accident on 16th Ave at Holden St.
1,Lane blocked on entry ramp due to accident on I-5 Northbound at Exit 174 130th St.
0,Accident on Martin Luther King Jr Way at Dakota St.
0,Accident on 1st Ave at Denny Way.
0,Accident on 51st Ave at Rainier Ave.
0,Accident on WA-99 1st Ave Bridge Northbound between WA-99 Marginal Way and Michigan St.
1,Left lane blocked due to accident on I-5 Northbound before Seneca St.
0,Accident on Cherry St at 16th Ave.
0,Accident on Queen Anne Ave at Crockett St.
0,Right lane blocked due to accident on 1st Ave Northbound at Horton St.
0,Accident on Pike St at 2nd Ave.
0,Right lane blocked due to accident on 85th St Eastbound at Stone Ave.
0,Accident on 137th St at WA-99 Aurora Ave.
0,Accident on 1st Ave at Horton St.
0,Right lane blocked due to accident on California Ave Northbound at Alaska St.
1,Right lane blocked due to accident on I-5 Southbound before Madison St.
0,Accident on 2nd Avenue Ext both ways at Washington St.
1,Two lanes blocked and slow traffic due to accident on I-5 Northbound after Exit 176 175th St.
0,Accident on Broad St at 5th Ave.
0,Accident on Renton Ave both ways at Henderson St.
0,Accident on Fremont Brg Southbound at 4th Ave.
0,Accident on WA-522 Lake City Way at 15th Ave.
1,Right lane blocked due to accident on I-5 Southbound at WA-522 Lake City Way.
1,Left lane blocked due to accident on I-5 Southbound at N Northgate Way.
1,Right center lane blocked due to accident on I-5 Northbound at NE 65th St.
0,Left lane blocked due to accident on 5th Ave Southbound at Virginia St.
0,Accident on Webster St at Martin Luther King Jr Way.
0,Accident on 1st Ave at Hanford St.
0,Accident on 51st Ave at Roxbury St.
0,Accident on 11th Ave near Aloha St.
0,Accident on 47th St at 25th Ave.
0,Accident on Latona Ave at 45th St.
1,Left lane blocked due to accident on I-5 Northbound after WA-522 Lake City Way.
0,Accident on Madison St at 17th Ave.
0,Accident on Delridge Way at Trenton St.
0,Accident on Rainier Ave at Othello St.
0,Right lane blocked due to accident on 75th St Westbound at 12th Ave.
0,One lane blocked due to accident on Spokane St Westbound from Marginal Way to Delridge Way.
0,Accident on Delridge Way at Orchard St.
0,Restrictions due to fuel spillage on Roosevelt Way both ways near 112th St.
0,Accident on Dravus St at Nickerson St.
0,Accident on 15th Ave at 80th St.
0,Accident on 35th Ave at Morgan St.
0,Accident on Roosevelt Way at 8th Ave.
0,Accident on Cherry St at 20th Ave.
0,Accident on California Ave at Frontenac St.
0,Accident on 28th Ave at Armour St.
0,Left lane blocked due to accident on WA-99 Alaskan Way Via Northbound before Atlantic St.
0,Accident on 8th Ave at Roosevelt Way.
0,Accident on Eddy St at Swift Ave.
0,Accident on Charles St at Rainier Ave.
0,Accident on 80th St at 15th Ave.
0,Accident on Rainier Ave at 57th Ave.
0,Accident on Pike St Eastbound at Minor Ave.
0,Right lane blocked due to accident on Market St Westbound at 14th Ave.
0,Accident on Orcas St both ways at 4th Ave.
0,Accident on 65th St at 37th Ave.
0,Restrictions due to accident a truck involved on Pike St at I-5.
1,HOV lane blocked and left hand shoulder blocked due to accident on I-5 Southbound after 200th St.
0,Accident on 125th St at Roosevelt Way.
0,Accident on 1st Ave at 125th St.
1,2 right lane blocked due to accident on I-5 Southbound between Exits 164 165 165A 165B Madison St and Exits 164A 164B I-90.
0,Accident on 15th Ave at Elliott Ave.
0,Accident on 2nd Ave at Highland Park Way.
1,Left lane blocked due to accident on I-5 Northbound before Exits 163 163A 163B Seattle Brg.
1,Right lane blocked due to accident on I-5 Northbound after Exit 176 175th St.
0,Accident on 4th Ave near Industrial Way.
0,Accident on 15th Ave at 63rd St.
1,Left lane blocked due to accident on I-5 Northbound at Exits 164A 164B I-90.
0,Accident on 3rd Ave at Leary Way.
0,Accident on WA-513 Montlake Blvd near Pacific St.
1,HOV lane blocked due to accident on I-90 Westbound between Exit 6 Mercer Way and Exits 3 3A 3B Rainier Ave.
1,Left lane blocked due to accident on I-5 Northbound at WA-523 145th St.
0,Accident on Meridian Ave at 105th St.
0,Accident on 6th Ave at Cherry St.
0,Accident on 1st Ave at University St.
1,HOV lane blocked due to accident on I-5 Southbound after I-90.
1,Left lane blocked due to accident on I-5 Southbound at Exits 166 167 Olive Way.
0,Accident on Dexter Ave at Harrison St.
0,Accident on Dawson St at Fauntleroy Way.
0,Accident on Dawson St at WA-99 Marginal Way.
0,Accident on Roxbury St at 15th Ave.
0,Accident on 87th St at Greenwood Ave.
1,Two lanes blocked due to accident on I-5 Southbound at Exit 151 Military Rd.
0,Fuel spillage on 15th Ave both ways around 125th St.
0,Accident on Holly St both ways at Rainier Ave.
0,Accident on Fairview Ave both ways around Fairview Pl.
0,Accident on Dawson St both ways at Fauntleroy Way.
0,Accident on Rainier Ave at Orcas St.
0,Accident on Wilson Ave at Farrar St.
0,Serious accident on 92nd St at 23rd Ave.
1,Very slow traffic and left hand shoulder blocked due to accident on I-5 Southbound after WA-104 205th St.
0,Accident on Roosevelt Way at 82nd St.
0,Accident on Rainier Ave at Alaska St.
0,Right lane blocked due to accident on WA-516 Kent des Moines Rd Westbound before I-5.
0,Accident on Willow St at Rainier Ave.
1,Accident on exit ramp from I-5 Northbound at Exit 172 to N 85th St Westbound.
0,Accident on 45th St at Roosevelt Way.
0,Accident on 24th Ave at 85th St.
1,HOV lane blocked due to accident on I-90 Westbound before Exits 3 3A 3B Rainier Ave.
1,HOV lane blocked due to accident on I-90 Westbound before Exits 3 3A 3B Rainier Ave.
0,Accident on Roxbury St at 25th Ave.
0,Left lane blocked due to accident on WA-520 Westbound at I-5.
0,Accident on 23rd Ave at Horton St.
0,Accident on 4th Ave at Pike St.
0,Accident on 14th Ave at 60th St.
0,Accident on 75th St at 25th Ave.
0,Accident on Queen Anne Ave at John St.
1,Left lane blocked due to accident on I-5 Southbound at Exits 166 167 Olive Way.
0,Accident on Olive Way at Boren Ave.
1,Left lane blocked due to accident on I-5 Northbound at Mercer St.
0,Accident on WA-99 Aurora Ave both ways before Harrison St.
0,Accident on 14th Ave both ways at 60th St.
0,Accident on 80th St both ways at Wallingford Ave.
0,Accident on Boren Ave near Pike St.
1,Right lane blocked due to accident on I-5 Northbound before Seneca St.
1,Right lane blocked due to accident on I-5 Northbound at Seneca St.
1,Left lane blocked due to accident on I-5 Collector Distributor Northbound after Exits 164 165 165A 165B Madison St.
1,Right lane blocked due to accident on I-5 Northbound before Seneca St.
0,Accident on 35th Ave at Thistle St.
1,Left lane blocked due to accident on I-5 Collector Distributor Northbound at James St.
0,Accident on Elliott Ave at Battery St.
0,Accident on 15th Ave near 59th St.
1,Accident on I-5 Express Northbound at Exits 164 165 165A 165B Madison St. Express lanes blocked.
0,Accident on 4th Ave at 45th St.
1,Right lane blocked due to accident on I-5 Southbound between Exits 161 162 Bailey St and Exit 158 WA-900 Martin Luther King Jr Way.
1,Entry ramp to I-5 Southbound from Edgar Martinez Dr Eastbound closed due to police incident.
1,Entry ramp to I-5 Southbound from I-90 Westbound closed due to police incident.
1,Entry ramp to I-5 Northbound from S Spokane St Eastbound closed due to building fire.
1,Entry ramp to I-5 Northbound from W Seattle Brg Northbound closed due to building fire.
1,Entry ramp to I-5 Northbound from W Seattle Brg Northbound closed due to building fire.
1,Three lanes blocked and very slow traffic due to accident on I-5 Northbound at 130th St.
0,Accident truck involved on Airport Way at Diagonal Ave.
0,Accident on 16th Ave at 87th St.
1,Left hand shoulder blocked due to earlier accident on I-5 Northbound at 200th St. All lanes have been re-opened.
1,HOV lane blocked due to accident on I-90 Westbound after Rainier Ave.
1,Left lane blocked due to accident on I-90 Westbound on Memorial Br.
1,One lane blocked and queueing traffic due to 2nd accident on I-90 Eastbound near East Highrise.
0,Entry ramp to WA-167 Northbound from 91st Pl Southbound closed due to earlier accident.
0,Accident on 16th Ave at Graham St.
0,Accident on Denny Way between Queen Anne Ave and 5th Ave.
0,Accident on exit ramp from Alaskan Way Via Northbound to Western Ave Westbound.
0,Accident on 140th St at Midvale Ave.
0,Accident on 2nd Ave at 40th St.
0,Accident on West Seattle Brg Eastbound at Marginal Way .
0,Accident on Marion St at 8th Ave.
0,Accident on 17th Ave at Hill St.
1,Right lane blocked due to accident on I-90 Westbound at 4th Ave.
0,Accident on Galer St at Thorndyke Ave.
1,Right lane blocked due to accident on I-5 Northbound before Exits 168A 168B WA-520.
0,Accident on West Seattle Brg at Harbor Ave.
0,Accident on Holman Rd at 6th Ave.
0,Accident on University St at Alaskan Way.
0,Accident on Madison St at 8th Ave.
0,Accident on 6th Ave Northbound at Stewart St.
0,Accident on Marion St at 8th Ave.
0,Accident on 3rd Ave at 83rd St.
0,Left lane blocked due to accident on Cherry St Eastbound at 6th Ave.
0,Accident on Denny Way at Minor Ave.
0,Accident on 17th Ave at Hill St.
0,Accident on Thorndyke Ave at Galer St.
0,Hit and run accident on 1st Ave at Cherry St.
0,Accident on Broad St at 5th Ave.
0,Multi-vehicle accident on 48th Ave at 124th St.
0,Restrictions due to accident train and vehicle involved on Cloverdale St both ways between 42nd Ave and 44th Ave.
0,Restrictions due to accident train and vehicle involved on Martin Luther King Jr Way both ways between Fairbanks St and Cloverdale St.
0,Restrictions due to accident train and vehicle involved on Norfolk St both ways between 40th Ave and Martin Luther King Jr Way.
0,Accident on Greenwood Ave at 85th St.
0,Accident on 34th Ave at Government Way.
0,Accident on Broadway at Cherry St.
0,Right lane blocked due to accident on Elliott Ave Southbound at Bell St.
0,Accident on Roosevelt Way at 97th St.
0,Accident on Dakota St at Airport Way.
1,Hov lane blocked due to accident on I-405 Northbound after I-5.
0,Accident on 4th Ave at Mead St.
1,Left center lane blocked due to accident on I-5 Express Southbound before Exits 164A 164B I-90.
0,Accident on 50th St at Meridian Ave.
1,Exit ramp from I-5 Southbound at Exits 164 165 165A 165B to James St lane blocked due to accident.
1,HOV lane blocked due to accident on I-5 Northbound at Exit 157 WA-900 Martin Luther King Jr Way.
1,Right lane blocked due to accident on I-5 Northbound at S 178th St.
0,Accident on WA-523 145th St at 17th Ave.
0,Accident on 45th St at WA-513 Montlake Blvd.
1,Two lanes blocked due to accident on I-5 Southbound at Holgate St.
0,Accident on WA-99 Aurora Ave Southbound at Comstock St.
0,Accident on 57th Ave at Roxbury St.
1,HOV lane blocked due to accident on I-5 Northbound at 188th St.
1,Left lane blocked due to accident on I-5 Southbound at Exits 166 167 Olive Way.
0,Accident on entry ramp to WA-99 Southbound from S Michigan St Westbound.
0,Right lane blocked due to accident on WA-99 Alaskan Way Via Southbound from Aurora Ave to Western Ave.
0,Accident on California Ave at Charlestown St.
0,Accident on Myers Way at Olson Pl.
0,Accident on 25th Ave at WA-523 145th St.
1,Left lane blocked due to accident on I-5 Northbound near Exits 161 162 Bailey St.
0,Accident on 25th Ave at 65th St.
0,Accident on 80th St at 10th Ave.
0,Accident on 3rd Ave at 74th St.
1,HOV lane blocked due to accident on I-5 Northbound after Exits 161 162 Bailey St.
0,Accident on 15th Ave at 60th St.
0,Center lane blocked due to accident on Rainier Ave Southbound at Henderson St.
1,Queueing traffic and HOV lane blocked due to accident on I-5 Northbound at Exit 175 5th Ave.
1,Right lane blocked due to accident on I-90 Eastbound at Exits 3 3A 3B Rainier Ave.
1,Entry ramp to I-90 Eastbound at Exits 164A 164B from I-5 Northbound closed due to incident.
0,Accident on WA-522 Lake City Way at 120th St.
1,Exit ramp from I-5 Southbound at Exit 172 to N 85th St lane blocked due to accident.
0,Accident on Rainier Ave at Orcas St.
0,Accident on 25th Ave at 54th St.
1,Left lane blocked due to accident on I-5 Northbound at Seneca St.
1,2 Center lane blocked due to accident on I-5 Southbound at Northgate Way.
0,Right lane blocked due to accident on WA-518 Westbound at WA-99.
1,2 Center lane blocked due to accident on I-5 Southbound at Mercer St.
1,Two lanes blocked due to accident on I-5 Southbound at Seattle Brg.
1,Left lane blocked due to accident on I-5 Express Northbound at WA-522 Lake City Way.
1,Lane blocked on entry ramp due to accident on I-5 Southbound at Exits 169 170 Ravenna Blvd.
1,Right lane blocked due to accident on I-5 Northbound at Exits 166 167 Olive Way.
1,Left lane blocked due to accident on I-5 Southbound at Northgate Way.
1,Slow traffic and right hand shoulder blocked due to earlier accident on I-5 Northbound at 200th St. All lanes have been re-opened.
0,Accident on Martin Luther King Jr Way Southbound at Holden St.
1,Two lanes blocked due to accident on I-5 Northbound after Southcenter Blvd.
0,Accident on Holden St at Martin Luther King Jr Way.
0,Right lane blocked due to accident on 8th Ave Westbound at Madison St.
0,Right lane blocked due to accident on WA-99 Marginal Way Northbound at Diagonal Ave.
0,One lane blocked due to accident on 46th St Eastbound at Whitman Ave.
0,One lane blocked due to accident on 46th St Westbound at Whitman Ave.
0,Left lane blocked due to accident on 65th St Eastbound at Ravenna Ave.
0,Accident on WA-522 Lake City Way at 80th St.
0,Accident on Green Lake Way both ways at Whitman Ave.
0,Left lane blocked due to accident on WA-520 Westbound after WA-513 Montlake Blvd.
0,Accident on Roosevelt Way at 45th St.
0,One lane blocked due to accident on 5th Ave at Virginia St.
0,Accident on exit ramp from WA-509 Southbound to Myers Way Southbound.
0,Accident on Lake Washington Blvd near Lake Park Dr.
0,Accident on Virginia St at 5th Ave.
0,Left lane blocked due to accident on 4th Ave Northbound at Washington St.
0,Accident on Roosevelt Way at 65th St.
0,Left lane blocked due to accident on Denny Way Westbound at Boren Ave.
0,Right lane blocked due to accident on Battery St Northbound between 1st Ave and Aurora Ave.
0,Accident on 22nd Ave at Jackson St.
0,Accident on 20th Ave at Madison St.
0,Left lane blocked due to accident on WA-520 Eastbound after I-5.
0,Accident on 65th St at Roosevelt Way.
0,Accident on WA-99 Alaskan Way Via at Western Ave.
0,Accident on Lenora St at Boren Ave.
0,Left lane blocked due to accident on WA-522 Lake City Way Northbound at 120th St.
0,Accident on Pine St at Melrose Ave.
0,Accident on 10th Ave at Aloha St.
0,Accident on Fauntleroy Way at Dawson St.
0,Accident on Queen Anne Ave at Republican St.
0,Accident on Linden Ave at 143rd St.
1,One lane blocked due to accident on I-5 Northbound before I-405.
0,Accident on Rainier Ave at Fontanelle St.
0,Accident on Detroit Ave from Kenyon St to Myrtle St.
0,Center lane blocked due to accident on West Seattle Brg Eastbound from Delridge Way to Marginal Way .
0,Accident on 2nd Ave at Stewart St.
0,Accident on Harbor Ave near Harbor Ln.
0,Right lane blocked due to accident on 4th Ave Southbound at Front St.
0,Accident on 24th Ave at 58th St.
0,Accident on Rainier Ave at Cornell Ave.
1,Two lanes blocked due to accident on I-5 Northbound at Mercer St.
1,Entry ramp to I-5 Northbound from I-405 Southbound shoulder blocked due to accident.
0,Right lane blocked due to accident on Stewart St Westbound at Yale Ave.
1,HOV lane blocked due to accident on I-90 Eastbound on Floating Bridge.
0,Accident on 4th Ave at James St.
0,Accident on WA-99 Alaskan Way Via Northbound at Atlantic St.
0,Accident on Martin Luther King Jr Way at Myrtle St.
0,Right lane blocked due to accident on 65th St Eastbound at 27th Ave.
1,Left lane blocked due to accident on I-5 Southbound before Exit 154B Southcenter Blvd.
0,Accident on Delridge Way at Hudson St.
1,Right lane blocked due to accident on I-90 Eastbound after Rainier Ave.
0,Accident on 51st St at Greenwood Ave.
0,Accident on Lucile St at 16th Ave.
1,Right lane blocked due to accident on I-5 Express Southbound after Mercer St.
0,Right lane blocked due to accident on 23rd Ave Southbound at John St.
1,Left lane blocked due to accident on I-5 Northbound after Madison St.
1,Left lane blocked due to accident on I-5 Northbound at Exits 164 165 165A 165B Madison St.
0,Accident on 15th Ave at Bertona St.
0,Accident on Minor Ave at Seneca St.
0,Left lane blocked due to accident on WA-99 Southbound at Des Moines Memorial Dr.
1,Left lane blocked due to accident on I-5 Southbound after 50th St.
1,Right lane blocked due to accident on I-5 Southbound at Exits 168A 168B WA-520.
1,Right lane blocked due to accident on I-5 Northbound after Corson Ave.
0,Accident on Pike St at Summit Ave.
0,Right lane blocked due to accident on 3rd Ave Northbound at Spring St.
0,Accident on 6th Ave at Lenora St.
0,Accident on 4th Ave at Horton St.
0,Accident on Rainier Ave at Kenny St.
0,Accident on 5th Ave at 130th St.
1,HOV lane blocked due to accident on I-405 Southbound at Tukwila Pkwy.
0,Accident on Rainier Ave both ways at Adams St.
1,Right lane blocked due to accident on Boren Ave Southbound at Pine St.
0,Accident on Roxbury St at 35th Ave.
1,Right lane blocked due to accident on I-5 Northbound at WA-523 145th St.
1,Right lane blocked due to accident on I-5 Southbound at Exits 163 163A 163B Seattle Brg.
1,Right lane blocked due to accident on I-5 Northbound at Swift Ave.
0,Accident on 12th Ave both ways from King St to Weller St.
0,Right lane blocked due to accident on Martin Luther King Jr Way Southbound at Renton Ave.
0,Accident on Elliott Ave at Mercer Pl.
0,Restrictions due to accident on Rainier Ave Northbound at Hudson St.
0,Left lane blocked due to accident on Rainier Ave Southbound at Hudson St.
0,Accident on Yale Ave at Stewart St.
0,Lane blocked due to accident on Hudson St both ways at WA-99 Marginal Way.
1,Right lane blocked due to accident on I-5 Southbound before Mercer St.
1,Right lane blocked due to accident on I-5 Southbound before Mercer St.
1,HOV lane blocked due to accident on I-5 Northbound at Exit 174 130th St.
1,HOV lane blocked due to accident on I-5 Northbound at Exit 176 175th St.
0,Accident on 40th Ave at Webster St.
0,Accident on Myers Way at 1st Ave.
1,Left lane blocked due to accident on I-5 Express Northbound at WA-522 Lake City Way.
0,Accident on 14th Ave at Henderson St.
1,Left lane blocked due to accident on I-5 Collector Distributor Southbound after I-90.
1,Right hand shoulder blocked due to accident on I-5 Southbound at 5th Ave.
0,Accident on Roosevelt Way at 1st Ave.
0,Accident on 51st Ave at Alaska St.
0,Accident on 24th Ave at Union St.
1,HOV lane blocked due to accident on I-90 Eastbound on Lacey V. Murrow Bridge.
0,Accident on Airport Way at Lucile St.
0,Accident on WA-99 Aurora Ave at 59th St.
0,Accident on Roosevelt Way at 1st Ave.
0,Accident on 21st Ave at Bayview St.
0,Accident on WA-99 Aurora Ave at 50th St.
0,Accident on 78th St at 11th Ave.
0,Accident on 1st Ave near Virginia St.
1,Right lane blocked due to accident on I-5 Southbound before Mercer St.
1,Right lane blocked due to accident on I-5 Southbound at Klickitat Dr.
0,Center lane blocked due to accident on WA-518 Eastbound at 51st Ave.
1,Left center lane blocked due to accident on I-5 Northbound after Denny Way.
1,Right center lane blocked due to accident on I-5 Southbound after WA-518.
0,Accident on 135th St at WA-99 Aurora Ave.
1,Left lane blocked due to accident on I-5 Northbound at Olive Way.
1,Slow traffic and left hand shoulder blocked due to earlier accident on I-5 Northbound at S Hudson St. All lanes have been re-opened.
0,Accident on 19th Ave at Aloha St.
1,HOV lane blocked due to accident on I-5 Southbound at I-405.
0,HOV lane blocked due to accident on WA-99 Southbound at Michigan St.
1,Left lane blocked due to accident on I-5 Southbound at Exit 168A Lakeview Blvd.
0,Queueing traffic due to accident on WA-509 Northbound after Cloverdale St.
0,Left lane blocked due to accident on WA-509 Northbound before 128th St.
0,Accident on WA-523 145th St Southbound at 145th St.
0,Accident on Henderson St at Delridge Way.
0,Accident on Myrtle St at Rainier Ave.
0,Left lane blocked due to accident on Union St Northbound at 4th Ave.
0,Accident on 35th Ave at Barton St.
0,Accident on WA-513 Montlake Blvd at Pacific St.
1,Right lane closed due to accident on I-5 Southbound at Northgate Way.
0,One lane blocked due to accident on Roosevelt Way Southbound at 80th St.
0,Accident on 3rd Ave at Spring St.
0,Accident on 15th Ave at 52nd St.
0,Accident on Lenora St at 8th Ave.
0,Accident on 16th Ave at Bertona St.
0,Accident on Rainier Ave at Court St.
0,Accident on 1st Ave at Dakota St.
0,Accident on Loyal Way at 85th St.
0,Accident on Rainier Ave at Holly St.
0,Left lane blocked due to accident on WA-520 Eastbound after I-5.
0,HOV lane blocked due to accident on WA-520 Eastbound after WA-513 Montlake Blvd.
0,Accident on 5th Ave at Union St.
0,Accident on 46th Ave at Findlay St.
0,Left lane blocked due to accident on Northgate Way Westbound at I-5.
0,Accident on 26th Ave at Yesler Way.
0,Accident on Holden St at WA-99 Marginal Way.
1,Left center lane blocked due to accident on I-5 Northbound at Exit 175 5th Ave.
0,Accident on Madison St at 13th Ave.
1,Left lane blocked due to accident on I-5 Northbound before Olive Way.
0,Accident on 12th Ave at 67th St.
0,Accident on 6th Ave at Pine St.
0,Accident on Terry Ave at John St.
0,Accident on Phinney Ave both ways at 46th St.
1,Left lane blocked due to accident on I-5 Southbound at Exits 169 170 Ravenna Blvd.
0,Left lane blocked due to accident on 1st Ave Westbound at I-5.
0,Accident on Boren Ave at Mercer St.
1,Entry ramp to I-5 Southbound from WA-518 Eastbound lane blocked due to accident.
1,Right lane blocked due to accident on I-90 Westbound at Exits 3 3A 3B Rainier Ave.
0,Accident on 8th Ave at Northlake Way.
0,Left lane blocked due to accident on 1st Ave Westbound at Northgate Way.
0,Accident on Broad St Southbound at 5th Ave.
0,Accident on 35th St at Wallingford Ave.
0,Accident on Northgate Way at 8th Ave.
0,Accident on 15th Ave at Republican St.
0,Right lane blocked due to accident on WA-522 Lake City Way Northbound at 20th Ave.
1,Right lane blocked due to accident on I-5 Southbound after Seneca Street.
1,One lane blocked due to accident on I-5 Express Southbound after Pike St.
1,Entry ramp to I-5 Southbound from WA-520 Westbound lane blocked due to accident.
0,Left lane blocked due to accident on WA-99 Alaskan Way Via Southbound after West Seattle Brg.
0,Accident on entry ramp to WA-520 Eastbound from Montlake Blvd Eastbound.
0,Two lanes blocked due to accident on WA-99 Northbound before Michigan St.
0,Left lane blocked due to accident on WA-520 Westbound at WA-513 Montlake Blvd.
0,Left lane blocked due to accident on WA-520 Westbound at WA-513 Montlake Blvd.
1,Two lanes blocked due to accident on I-5 Southbound at Exits 164 165 165A 165B Madison St.
0,Accident motorcycle involved on Seattle Brg Westbound between Marginal Way and Delridge Way.
0,Left lane blocked and right hand shoulder blocked due to accident on Seattle Brg Eastbound between Delridge Way and Marginal Way.
0,Accident on 35th Ave at Holden St.
0,Accident on Genesee St at 26th Ave.
0,Accident on Westlake Ave at Thomas St.
0,Right lane blocked due to accident on WA-518 Eastbound at I-5.
0,Accident on 4th Ave at Green Lake Way.
0,Right lane blocked due to accident on Fairview Ave Northbound at Republican St.
0,Left lane blocked due to accident on Marginal Way Northbound at Spokane St.
1,Left lane blocked due to accident on I-5 Southbound after Exit 172 80th St.
0,Accident on Maynard Ave near Airport Way.
0,Accident on 60th St at 25th Ave.
0,Accident on WA-522 Lake City Way at 80th St.
0,Accident on Spokane St at Marginal Way.
0,Accident on Olive Way at Denny Way.
0,Accident on Airport Way at Plummer St.
1,Left lane blocked due to accident on I-5 Express Northbound at Exits 166 167 Olive Way.
1,HOV lane blocked due to accident on I-90 Westbound near Rainier Ave.
0,Accident on Columbian Way at Spokane St.
1,HOV lane blocked due to accident on I-90 Eastbound after Rainier Ave.
0,Accident on WA-99 Battery Street Tunl Northbound at Aurora Ave.
0,Accident on Pearl St near 17th Ave.
1,HOV lane blocked due to accident on I-5 Northbound near Exits 153 154A 154AB I-405.
0,Accident on Rainier Ave at Holgate St.
0,Accident on 12th Ave at Jefferson St.
0,Accident on 12th Ave at Roy St.
0,HOV lane blocked due to accident on WA-520 Eastbound at Lake Washington Blvd.
0,Accident on Latona Ave at Woodlawn Ave.
0,Accident on WA-99 Aurora Ave at Dexter Way.
0,Two right lane blocked due to accident on WA-99 Marginal Way both ways at Diagonal Ave.
0,Right lane blocked due to accident on WA-99 Alaskan Way Via Southbound before Seattle Brg.
0,Two lanes blocked due to accident on WA-99 Marginal Way Southbound at Diagonal Ave.
0,HOV lane blocked due to accident on WA-99 Southbound at Marginal Way.
1,Left lane blocked due to accident on I-5 Northbound at Mercer St.
0,Accident on Rainier Ave at Court St.
0,Accident on 5th Ave at 85th St.
0,Right lane blocked due to accident on WA-99 Marginal Way Southbound at Lucile St.
0,Accident on Diagonal Ave at WA-99 Marginal Way.
0,Accident on Rainier Ave at Court St.
0,Accident on 8th Ave at Seneca St.
0,Accident on Yale Ave at Stewart St.
0,Accident on 5th Ave at 85th St.
1,Two lanes blocked and very slow traffic due to accident on I-5 Northbound at I-405.
1,Earlier accident on I-5 Northbound at S 216th St. All lanes have been re-opened.
0,Accident on Albro Pl at Stanley Ave.
0,Accident on Martin Luther King Jr Way at Dawson St.
1,Right lane blocked due to accident on Martin Luther King Jr Way Southbound from Merton Way to Norfolk St.
0,Accident on 12th Ave at Republican St.
0,Accident on 65th St at Greenwood Ave.
0,Accident on 30th Ave at Brandon St.
0,Accident on Martin Luther King Jr Way at Andover St.
0,Accident on 19th Ave at Cherry St.
0,Accident on Martin Luther King Jr Way at Holly St.
0,Accident on 15th Ave at Forest St.
0,Accident on 8th Ave at 92nd St.
0,Accident on 85th St at 3rd Ave.
0,Left lane blocked due to accident on WA-523 145th St Eastbound at I-5.
0,Left lane blocked due to accident on WA-523 145th St Westbound at I-5.
0,Accident on Rainier Ave near Mead St.
0,Right lane blocked due to accident on Rainier Ave Southbound at Estelle St.
0,Accident on 125th St at 20th Ave.
0,Accident on Leary Way at 45th St.
1,Right lane blocked due to accident on I-5 Southbound after Exits 168A 168B WA-520.
1,Left center lane blocked due to accident on I-5 Southbound after Olive Way.
0,Accident on 2nd Ave at Lenora St.
0,Accident on 5th Ave Southbound at Spring St.
1,Right hand shoulder blocked due to 2nd accident on I-5 Northbound after 188th St.
1,Left hand shoulder blocked due to accident on I-5 Northbound near Albro Place.
0,Accident on Spokane St at Columbian Way.
0,Accident on Magnolia Blvd at Bertona St.
0,Accident on John St at Pontius Ave.
0,Accident on 22nd Ave at 64th St.
0,Accident on Holman Rd at 9th Ave.
0,Accident on Holman Rd at 9th Ave.
0,Right lane blocked due to accident on Denny Way Eastbound at Minor Ave.
0,Accident on 35th Ave at Othello St.
0,Accident on Rainier Ave at Oregon St.
0,Accident on James St at Terry Ave.
0,Accident on 46th St at 14th Ave.
0,Accident on 35th Ave at Othello St.
0,Accident on Brooklyn Ave at 50th St.
0,Accident on 45th St both ways at 27th Ave.
0,Right lane blocked due to accident on 12th Ave Southbound at Yesler Way.
0,Accident on Olive Pl both ways at Melrose Ave.
1,Accident on I-5 Southbound at Exits 153 154A 154AB I-405.
1,Two lanes blocked due to accident on I-5 Northbound at Exits 164A 164B I-90.
1,Two lanes blocked due to accident on I-5 Southbound at Airport Way.
0,Accident on Klickitat Ave at Spokane St.
0,Accident on Stone Ave at 96th St.
0,Restrictions due to fuel spillage on 9th Ave at Madison St.
0,Accident on 19th Ave at Thomas St.
0,Accident on Eastlake Ave at Roy St.
0,Accident on 24th Ave at Newton St.
0,Accident on Dawson St at 4th Ave.
0,Left lane blocked due to accident on WA-99 Marginal Way Northbound from 5th Ave to 1st Ave.
0,Right lane blocked due to accident on 4th Ave Northbound at Marion St.
0,Accident on Klickitat Ave at Spokane St.
0,Right lane blocked due to accident on 45th St Eastbound at University Way.
0,Accident on Lander St at Colorado Ave.
0,Accident on Etruria St at Queen Anne Ave.
0,Accident on Airport Way at Alaska St.
0,Accident on Swift Ave at 19th Ave.
1,Left lane blocked due to accident on I-5 Northbound before Exits 168A 168B WA-520.
